Date,Area code,Indicator name,Area name,cases
20/05/2020,E10000029,Number of COVID-19 Daily lab-confirmed cases,Suffolk,1
20/05/2020,E10000028,Number of COVID-19 Daily lab-confirmed cases,Staffordshire,1
20/05/2020,E10000018,Number of COVID-19 Daily lab-confirmed cases,Leicestershire,1
20/05/2020,E08000035,Number of COVID-19 Daily lab-confirmed cases,Leeds,1
20/05/2020,E08000034,Number of COVID-19 Daily lab-confirmed cases,Kirklees,1
20/05/2020,E08000032,Number of COVID-19 Daily lab-confirmed cases,Bradford,1
20/05/2020,E08000018,Number of COVID-19 Daily lab-confirmed cases,Rotherham,1
20/05/2020,E08000017,Number of COVID-19 Daily lab-confirmed cases,Doncaster,1
20/05/2020,E06000052,Number of COVID-19 Daily lab-confirmed cases,Cornwall and Isles of Scilly,1
20/05/2020,E06000023,Number of COVID-19 Daily lab-confirmed cases,"Bristol, City of",1
20/05/2020,E06000021,Number of COVID-19 Daily lab-confirmed cases,Stoke-on-Trent,1
20/05/2020,E06000018,Number of COVID-19 Daily lab-confirmed cases,Nottingham,1
20/05/2020,E06000016,Number of COVID-19 Daily lab-confirmed cases,Leicester,1
20/05/2020,E06000014,Number of COVID-19 Daily lab-confirmed cases,York,1
19/05/2020,E10000019,Number of COVID-19 Daily lab-confirmed cases,Lincolnshire,1
19/05/2020,E09000022,Number of COVID-19 Daily lab-confirmed cases,Lambeth,1
19/05/2020,E09000018,Number of COVID-19 Daily lab-confirmed cases,Hounslow,1
19/05/2020,E09000016,Number of COVID-19 Daily lab-confirmed cases,Havering,1
19/05/2020,E09000011,Number of COVID-19 Daily lab-confirmed cases,Greenwich,1
19/05/2020,E09000010,Number of COVID-19 Daily lab-confirmed cases,Enfield,1
19/05/2020,E09000007,Number of COVID-19 Daily lab-confirmed cases,Camden,1
19/05/2020,E09000004,Number of COVID-19 Daily lab-confirmed cases,Bexley,1
19/05/2020,E08000037,Number of COVID-19 Daily lab-confirmed cases,Gateshead,1
19/05/2020,E08000028,Number of COVID-19 Daily lab-confirmed cases,Sandwell,1
19/05/2020,E08000025,Number of COVID-19 Daily lab-confirmed cases,Birmingham,1
19/05/2020,E08000024,Number of COVID-19 Daily lab-confirmed cases,Sunderland,1
19/05/2020,E08000019,Number of COVID-19 Daily lab-confirmed cases,Sheffield,1
19/05/2020,E08000014,Number of COVID-19 Daily lab-confirmed cases,Sefton,1
19/05/2020,E08000009,Number of COVID-19 Daily lab-confirmed cases,Trafford,1
19/05/2020,E08000008,Number of COVID-19 Daily lab-confirmed cases,Tameside,1
19/05/2020,E08000004,Number of COVID-19 Daily lab-confirmed cases,Oldham,1
19/05/2020,E06000057,Number of COVID-19 Daily lab-confirmed cases,Northumberland,1
19/05/2020,E06000049,Number of COVID-19 Daily lab-confirmed cases,Cheshire East,1
19/05/2020,E06000046,Number of COVID-19 Daily lab-confirmed cases,Isle of Wight,1
19/05/2020,E06000045,Number of COVID-19 Daily lab-confirmed cases,Southampton,1
19/05/2020,E06000041,Number of COVID-19 Daily lab-confirmed cases,Wokingham,1
19/05/2020,E06000038,Number of COVID-19 Daily lab-confirmed cases,Reading,1
19/05/2020,E06000035,Number of COVID-19 Daily lab-confirmed cases,Medway,1
19/05/2020,E06000023,Number of COVID-19 Daily lab-confirmed cases,"Bristol, City of",1
19/05/2020,E06000011,Number of COVID-19 Daily lab-confirmed cases,East Riding of Yorkshire,1
19/05/2020,E06000010,Number of COVID-19 Daily lab-confirmed cases,"Kingston upon Hull, City of",1
19/05/2020,E06000007,Number of COVID-19 Daily lab-confirmed cases,Warrington,1
19/05/2020,E06000002,Number of COVID-19 Daily lab-confirmed cases,Middlesbrough,1
18/05/2020,E10000013,Number of COVID-19 Daily lab-confirmed cases,Gloucestershire,1
