"","date","country","reported_cases","predicted_cases","cases_min","cases_max","cases_min2","cases_max2","reported_deaths","estimated_deaths","deaths_min","deaths_max","deaths_min2","deaths_max2","rt","rt_min","rt_max","rt_min2","rt_max2","mu_rep","mu_li","mu_ui"
"1",2020-03-05,"E06000022 - Bath and North East Somerset",0,56.1079234949793,26.8974202897629,105.407248696882,41.8937230809507,66.2091001837889,0,5.61079234949793e-14,2.68974202897629e-14,1.05407248696882e-13,4.18937230809507e-14,6.62091001837889e-14,3.22037328149853,2.6108860328171,3.80435526684702,3.03209576625684,3.41444904909727,3.18108258881779,2.57615326717989,3.75659644521203
"2",2020-03-06,"E06000022 - Bath and North East Somerset",0,56.1079234949793,26.8974202897629,105.407248696882,41.8937230809507,66.2091001837889,0,1.10961894493987e-06,5.37911662632141e-07,2.10128219020569e-06,8.34749754027321e-07,1.3194552981128e-06,3.56679075840132,2.87899181038971,4.20808287010703,3.35336760563235,3.78519447372465,3.18108258881779,2.57615326717989,3.75659644521203
"3",2020-03-07,"E06000022 - Bath and North East Somerset",0,56.1079234949793,26.8974202897629,105.407248696882,41.8937230809507,66.2091001837889,0,1.88635220639777e-05,9.1444982647464e-06,3.57217972334967e-05,1.41907458184645e-05,2.24307400679177e-05,3.39373545422113,2.75210811403044,4.0096731490293,3.19434734502277,3.60194605663614,3.18108258881779,2.57615326717989,3.75659644521203
"4",2020-03-08,"E06000022 - Bath and North East Somerset",0,56.1079234949793,26.8974202897629,105.407248696882,41.8937230809507,66.2091001837889,0,0.000118729227108566,5.75565479016391e-05,0.000224837194352008,8.93182236809233e-05,0.00014118171689807,3.43465968104637,2.77746749269919,4.06692330138813,3.23165310375301,3.64649236223363,3.18108258881779,2.57615326717989,3.75659644521203
"5",2020-03-09,"E06000022 - Bath and North East Somerset",0,56.1079234949793,26.8974202897629,105.407248696882,41.8937230809507,66.2091001837889,0,0.000483793859993782,0.000234529484907613,0.000916159034929679,0.000363950892755912,0.000575282509977183,3.22698228711998,2.60790764032076,3.81310063452642,3.03954962583257,3.42529181833251,3.18108258881779,2.57615326717989,3.75659644521203
"6",2020-03-10,"E06000022 - Bath and North East Somerset",0,56.1079234949793,26.8974202897629,105.407248696882,41.8937230809507,66.2091001837889,0,0.00137370825383556,0.000665934638338591,0.00260138735147464,0.00103342019548582,0.00163348565906365,3.20576842721952,2.59810652264113,3.78667405464315,3.01845013616568,3.39935605384233,3.18108258881779,2.57615326717989,3.75659644521203
"7",2020-03-11,"E06000022 - Bath and North East Somerset",1,99.6864493620188,55.5723929122552,165.104046380823,79.5675823299124,115.376686019276,0,0.00313966680470735,0.00152202104941764,0.00594557795718699,0.0023619244290203,0.00373339876601018,3.42502193634455,2.7567948831748,4.05504889125702,3.2214109771939,3.63484830209532,3.18108258881779,2.57615326717989,3.75659644521203
"8",2020-03-12,"E06000022 - Bath and North East Somerset",2,114.201320415691,64.241370520828,187.780509041706,91.4447422603671,132.044954590411,0,0.00611929910144098,0.00296667499971245,0.011587465639213,0.00460351540406399,0.00727658716923242,3.24896387916485,2.62422214743144,3.84357968270232,3.05908535848875,3.44873484068101,3.18108258881779,2.57615326717989,3.75659644521203
"9",2020-03-13,"E06000022 - Bath and North East Somerset",1,142.242793942382,81.9834556717634,229.285604240335,114.621461422344,164.174580545603,0,0.0107243979918772,0.00520253788384238,0.0202978689064904,0.00806880452020927,0.0127539523425611,3.32922110273373,2.6788625222704,3.95032456612329,3.13237470953351,3.53323698581344,3.18108258881779,2.57615326717989,3.75659644521203
"10",2020-03-14,"E06000022 - Bath and North East Somerset",0,169.096612698777,100.070018858141,268.121835126668,138.050770144031,193.783629343021,0,0.0173575956736597,0.00843795860968059,0.0327998227212536,0.0130643197786895,0.0206278530673558,3.23750811787749,2.60958403486634,3.83539477194509,3.049529084076,3.43586421572617,3.18108258881779,2.57615326717989,3.75659644521203
"11",2020-03-15,"E06000022 - Bath and North East Somerset",0,212.530162747148,125.847248974447,332.713408662822,174.597946511922,244.05216976358,0,0.0265577517457896,0.012964190642553,0.049997170483578,0.020011803077479,0.0315320626294388,3.31657685118523,2.67138399025397,3.93381310512924,3.11795704067613,3.52928753272304,3.18108258881779,2.57615326717989,3.75659644521203
"12",2020-03-16,"E06000022 - Bath and North East Somerset",1,272.678956451443,167.550567507851,421.466284434527,226.24008057878,310.797366036617,0,0.0386843237107041,0.0190141551584792,0.0723775467875622,0.0292472974641436,0.0458709902644825,3.47182943487563,2.78541764835255,4.14056422888515,3.25792558047908,3.69110361202349,3.18108258881779,2.57615326717989,3.75659644521203
"13",2020-03-17,"E06000022 - Bath and North East Somerset",0,292.63871674635,183.961291193154,441.953695966292,245.937764623513,332.153403130404,0,0.0542996047660491,0.026970414117527,0.100692866248988,0.0412398994640338,0.0643696427761724,3.0283095108598,2.43409583224095,3.61927886382068,2.83303716636727,3.21868833072055,3.18108258881779,2.57615326717989,3.75659644521203
"14",2020-03-18,"E06000022 - Bath and North East Somerset",5,297.197792974818,192.113842869687,436.236108345212,252.044773119657,336.695330372763,0,0.0738885843532422,0.0370422389376334,0.135786932702302,0.0562807061187167,0.087399978482728,2.50292761938311,2.00764365814603,3.01714317290418,2.33694977181409,2.66501857617268,3.18108258881779,2.57615326717989,3.75659644521203
"15",2020-03-19,"E06000022 - Bath and North East Somerset",3,318.526173152597,209.587830099375,461.219112424974,272.768999981575,358.430079885125,0,0.0981274453850752,0.0498477992377714,0.177742416892288,0.0752106420432637,0.115988716480661,2.22212240811003,1.78651502210322,2.67778722551614,2.07049023189829,2.36461987440223,3.18108258881779,2.57615326717989,3.75659644521203
"16",2020-03-20,"E06000022 - Bath and North East Somerset",3,339.332012687877,227.045498268279,484.688724591895,291.350236025893,380.041735598347,0,0.127979990112543,0.0658456871368583,0.227288417299417,0.0989543529631917,0.151031896609136,2.01310015771681,1.61994060862886,2.41994690914223,1.87656735654127,2.1379848191769,3.18108258881779,2.57615326717989,3.75659644521203
"17",2020-03-21,"E06000022 - Bath and North East Somerset",1,333.529699854599,227.297965649444,469.56866671899,288.255384218414,373.588025135035,0,0.164808885879104,0.08666160398297,0.287656483291686,0.128760717076366,0.193608392833707,1.72337350669269,1.39364163202261,2.06175910139956,1.6089960666761,1.83499186583924,3.18108258881779,2.57615326717989,3.75659644521203
"18",2020-03-22,"E06000022 - Bath and North East Somerset",2,368.485797231804,252.720522543076,517.435123846389,319.308167775058,411.379843339329,0,0.209251462465278,0.112951512440789,0.358303831971051,0.165035545470025,0.244751655438393,1.69263593554756,1.36939886827374,2.02161062878495,1.58239314177051,1.80430966568185,3.18108258881779,2.57615326717989,3.75659644521203
"19",2020-03-23,"E06000022 - Bath and North East Somerset",4,385.309088483812,265.532480377704,537.155507042628,334.313318567208,428.553065729051,0,0.262114604552098,0.145189135248919,0.440337893133391,0.208729018397595,0.305070101173842,1.60426551843758,1.29603838267128,1.93650360447214,1.49050683073064,1.70878483365307,3.18108258881779,2.57615326717989,3.75659644521203
"20",2020-03-24,"E06000022 - Bath and North East Somerset",3,255.166624617306,178.326180444113,350.929573258298,222.009990878431,283.578438770958,0,0.324447887737082,0.184134585749552,0.536443803606948,0.260833924231175,0.377048667828348,0.977289710728515,0.755686703192055,1.19894376544965,0.899248163891107,1.05572652765399,3.18108258881779,2.57615326717989,3.75659644521203
"21",2020-03-25,"E06000022 - Bath and North East Somerset",4,268.325056414525,187.056970339635,370.773849131926,233.580374348232,298.688762816765,0,0.396910763767893,0.229030306374455,0.644834429474523,0.321020858500396,0.459021910276573,0.96027448527432,0.740202128196566,1.18390393461214,0.88210593555714,1.03797867442465,3.18108258881779,2.57615326717989,3.75659644521203
"22",2020-03-26,"E06000022 - Bath and North East Somerset",5,268.31069620447,186.751586028785,370.746052378813,233.012104544763,300.443902386958,0,0.479401369651325,0.282516694157585,0.766577250453039,0.391089899502839,0.552706299515565,0.925020726129336,0.71058962405623,1.14257372599434,0.849235394380623,1.00098970861149,3.18108258881779,2.57615326717989,3.75659644521203
"23",2020-03-27,"E06000022 - Bath and North East Somerset",4,228.804688218932,158.241323556558,317.865699398091,197.686813630368,256.387957445118,1,0.572218125688686,0.344180812423308,0.897147910027413,0.46990260633877,0.655286744256426,0.7773874842068,0.585035689553056,0.971581205840893,0.710081495296114,0.845788142141004,3.18108258881779,2.57615326717989,3.75659644521203
"24",2020-03-28,"E06000022 - Bath and North East Somerset",2,177.472879437297,118.898882194519,248.979943362643,152.269401106503,200.082805335706,1,0.674767907561387,0.41317784585373,1.04208054471692,0.559172267512281,0.768951277140256,0.604076587985098,0.437624021793564,0.778109823799712,0.544857531551872,0.660350289393489,3.18108258881779,2.57615326717989,3.75659644521203
"25",2020-03-29,"E06000022 - Bath and North East Somerset",6,185.360355189917,123.971735627925,262.821786467039,158.456650145752,209.746508505663,1,0.785766022759206,0.489357960589646,1.19582147072252,0.656296927099628,0.894524739968738,0.642395657485681,0.469798643900536,0.816234657045343,0.581842397248607,0.700681224250693,3.18108258881779,2.57615326717989,3.75659644521203
